prefix	polarity	rt	formula	Compound
N001	neg	0.72	C14H30O4S	Myristylsulfate
N002	neg	0.74	C18H30O3S	4-Dodecylbenzenesulfonicacid
N003	neg	0.85	C22H30O4	Cannabidiolicacid
N004	neg	0.86	C11H14O3	Butylparaben
N005	neg	0.86	C16H32O3	16-Hydroxyhexadecanoicacid
N006	neg	0.86	C18H30O4	13(S)-HpOTrE
N007	neg	0.86	C18H34O4	(+/-)12(13)-DiHOME
N008	neg	0.87	C18H32O3	NP-020521
N009	neg	0.91	C18H32O5	CorchorifattyacidF
N010	neg	0.91	C18H34O5	(15Z)-9-12-13-Trihydroxy-15-octadecenoicacid
N011	neg	0.94	C11H12O5	Sinapinicacid
N012	neg	0.94	C16H28O6	NP-016102
N013	neg	0.95	C7H6O3	4-Hydroxybenzoicacid
N014	neg	0.95	C15H11N3O	2-benzoyl-3-(2-pyridylamino)acrylonitrile_A
N015	neg	0.97	C8H15NO3	N-Acetyl-L-leucine
N016	neg	1.03	C11H13NO5	2-[(carboxymethyl)(methyl)amino]-5-methoxybenzoicacid
N017	neg	1.08	C7H12O5	2-Isopropylmalicacid
N018	neg	1.12	C6H12O4	Mevalonicacid_A
N019	neg	1.22	C4H6O4	Methylmalonicacid
N020	neg	1.25	C7H6O3	Salicylicacid
N021	neg	1.25	C22H19F2N3O6	(2-{[(1S-11aS)-7-(2-4-Difluorophenyl)-5-11-dioxo-2-3-5-10-11-11a-hexahydro-1H-pyrrolo[2-1-c][1-4]benzodiazepin-1-yl]amino}-2-oxoethoxy)aceticacid
N022	neg	1.26	C8H8O3	Methylsalicylate
N023	neg	1.26	C9H8O4	Caffeicacid
N024	neg	1.33	C4HF7O2	Perfluorobutanoicacid
N025	neg	1.35	C7H12O5	3-Isopropylmalicacid
N026	neg	1.36	C5H8O4	Glutaricacid
N027	neg	1.37	C6H6O4	cis-cis-Muconicacid
N028	neg	1.38	C5H6O4	Itaconicacid_A
N029	neg	1.38	C6H13NO2	DL-Leucine
N030	neg	1.41	C7H6O3	3-Hydroxybenzoicacid
N031	neg	1.41	C7H13NO3	N-Acetylvaline
N032	neg	1.41	C6H6O6	1-2-3-cyclopropanetricarboxylicacid
N033	neg	1.41	C11H13NO3	N-Acetyl-L-phenylalanine
N034	neg	1.42	C7H10O7	3-Hydroxy-3-(methoxycarbonyl)pentanedioicacid
N035	neg	1.42	C15H11N3O	2-benzoyl-3-(2-pyridylamino)acrylonitrile_B
N036	neg	1.43	C6H10O5	3-Hydroxy-3-methylglutaricacid
N037	neg	1.45	C10H8O5	3-[(1-Carboxyvinyl)oxy]benzoicacid
N038	neg	1.52	C4H4O4	Maleicacid
N039	neg	1.56	C8H6O4	Terephthalicacid_A
N040	neg	1.68	C12H16O8	NP-013538_B
N041	neg	1.69	C5H8O5	D-Hydroxyglutaricacid
N042	neg	1.72	C18H24O12	Asperulosidicacid
N043	neg	1.82	C29H44O9	(3beta-9xi)-3-(beta-D-Glucopyranosyloxy)-14-hydroxycard-20(22)-enolide
N044	neg	1.97	C14H14N2O5	Indole-3-acetyl-L-asparticacid
N045	neg	2	C5H7NO3	4-Oxoproline
N046	neg	2.02	C6H6O6	trans-Aconiticacid
N047	neg	2.09	C5H9NO4	N-Methyl-D-asparticacid(NMDA)
N048	neg	2.11	C8H8O3	4-Hydroxyphenylaceticacid
N049	neg	2.13	C9H12N2O6	Uridine
N050	neg	2.18	C5H6O4	Citraconicacid
N051	neg	2.3	C4H6O5	D-(+)-Malicacid
N052	neg	2.32	C4H4O4	Fumaricacid
N053	neg	2.53	C6H12O5	1-5-Anhydro-D-glucitol
N054	neg	3.03	C5H6O5	2-Oxoglutaricacid
N055	neg	3.25	C6H6O6	cis-Aconiticacid
N056	neg	3.6	C5H6O4	Itaconicacid_B
N057	neg	4.16	C5H9NO4	O-Acetylserine
N058	neg	4.88	C5H4N4O3	Uricacid
N059	neg	5.12	C5H8O4	Methylsuccinicacid
N060	neg	5.12	C6H12O6	D-(-)-Fructose
N061	neg	5.16	C8H6O4	Isophthalicacid_A
N062	neg	6.38	C8H6O4	Terephthalicacid_B
N063	neg	6.85	C5H6O4	Mesaconicacid
N064	neg	6.89	C6H12O6	D-(+)-Glucose
N065	neg	7.08	C5H8O4	Ethylmalonicacid_A
N066	neg	8.01	C6H12O6	D-(+)-Galactose
N067	neg	8.09	C5H8O4	Ethylmalonicacid_B
N068	neg	9	C6H12O7	Gluconicacid
N069	neg	9.58	C12H22O11	Sucrose
N070	neg	10.26	C5H8O5	Ribono-1-4-lactone
N071	neg	10.28	C5H9NO4	Glutamicacid_neg
N072	neg	10.6	C5H10N2O3	Glutamine_Neg
N073	neg	10.61	C6H12O4	Mevalonicacid_B
N074	neg	10.71	C4H8N2O3	Asparagine__neg
N075	neg	10.95	C4H7NO4	Asparticacid_neg
N076	neg	12.24	C15H24N2O17P2	Uridine5-diphosphogalactose
N077	neg	13.27	C8H6O4	Isophthalicacid_B
N078	neg	14.26	C6H9N3O2	L-Histidine
P001	pos	0.86	C23H36O4	NP-009800
P002	pos	0.87	C18H28O3	9S-13R-12-Oxophytodienoicacid
P003	pos	0.87	C18H30O3	9-Oxo-10(E)-12(E)-octadecadienoicacid
P004	pos	0.88	C21H38O4	Linoleoylglycerol
P005	pos	0.88	C24H24N2O7	3-{[4-(1-3-Benzodioxol-5-ylmethyl)piperazino]carbonyl}-6-7-dimethoxy-2H-chromen-2-one
P006	pos	0.89	C18H32O4	NP-002322
P007	pos	0.9	C9H7N	Isoquinoline/Quinoline_A
P008	pos	0.9	C9H7NO	2-Hydroxyquinoline_A
P009	pos	0.9	C16H24O4	NP-016516
P010	pos	0.95	C19H18O6	2-(2-6-dimethoxyphenyl)-5-6-dimethoxy-4H-chromen-4-one_A
P011	pos	0.96	C7H7NO2	Salicylamide
P012	pos	0.97	C9H6O2	Coumarin_A
P013	pos	0.97	C10H10O2	Methylcinnamate_A
P014	pos	0.97	C10H10O3	4-Methoxycinnamicacid
P015	pos	0.97	C11H12N2O2	ethyl1-methylpyrrolo[1-2-a]pyrazine-7-carboxylate
P016	pos	0.98	C11H12O3	4-methoxy-6-(prop-2-en-1-yl)-2H-1-3-benzodioxole_A
P017	pos	0.98	C10H13NO3	L-Tyrosinemethylester_A
P018	pos	0.98	C15H13NO	2-3-Dihydro-1H-indol-7-yl(phenyl)methanone_A
P019	pos	0.98	C21H20O10	Afzelin_A
P020	pos	0.98	C27H30O16	Quercetin3-O-rhamnoside-7-O-glucoside
P021	pos	0.98	C28H32O16	NP-007694
P022	pos	0.98	C33H40O19	Robinin
P023	pos	0.99	C15H13NO2	4-4-dimethoxy[1-1-biphenyl]-2-carbonitrile
P024	pos	1.19	C27H30N2O	Phenylacetylfentanyl
P025	pos	1.21	C23H25BrN2O3	WIN54-461
P026	pos	1.22	C10H8O4	5-7-Dihydroxy-4-methylcoumarin
P027	pos	1.22	C25H20N4O2S	8-9-Dimethoxy-2-(2-phenyldiazenyl)-3-(2-thienyl)-5-6-dihydropyrrolo[2-1-a]isoquinoline-1-carbonitrile_A
