prefix	polarity	rt	formula	Compound
N001	neg	16.01	C39H68D7O10P	15:0-18:1(d7)PG
N002	neg	15.43	C42H72D7O13P	15:0-18:1(d7)PI
N003	neg	17.25	C37H71O8P	PA(34:1)
N004	neg	16.38	C37H69O8P	PA(34:2)
N005	neg	15.43	C37H67O8P	PA(34:3)
N006	neg	17.57	C39H73O8P	PA(36:2)
N007	neg	16.7	C39H71O8P	PA(36:3)
N008	neg	15.69	C39H69O8P	PA(36:4)
N009	neg	14.74	C39H67O8P	PA(36:5)
N010	neg	13.82	C39H65O8P	PA(36:6)
N011	neg	17.05	C41H73O8P	PA(38:4)
N012	neg	16.02	C41H71O8P	PA(38:5)
N013	neg	15.08	C41H69O8P	PA(38:6)
N014	neg	16.35	C38H75O10P	PG(32:0)
N015	neg	17.62	C40H79O10P	PG(34:0)
N016	neg	16.62	C40H77O10P	PG(34:1)
N017	neg	15.71	C40H75O10P	PG(34:2)
N018	neg	14.82	C40H73O10P	PG(34:3)
N019	neg	17.83	C42H81O10P	PG(36:1)
N020	neg	16.98	C42H79O10P	PG(36:2)
N021	neg	16.12	C42H77O10P	PG(36:3)
N022	neg	15.09	C42H75O10P	PG(36:4)
N023	neg	14.17	C42H73O10P	PG(36:5)
N024	neg	13.32	C42H71O10P	PG(36:6)
N025	neg	16.08	C43H81O13P	PI(34:1)
N026	neg	15.16	C43H79O13P	PI(34:2)
N027	neg	14.26	C43H77O13P	PI(34:3)
N028	neg	13.31	C43H75O13P	PI(34:4)
N029	neg	17.34	C45H85O13P	PI(36:1)
N030	neg	16.48	C45H83O13P	PI(36:2)
N031	neg	15.57	C45H81O13P	PI(36:3)
N032	neg	14.53	C45H79O13P	PI(36:4)
N033	neg	13.63	C45H77O13P	PI(36:5)
N034	neg	12.72	C45H75O13P	PI(36:6)
N035	neg	17.71	C47H87O13P	PI(38:2)
N036	neg	16.76	C47H85O13P	PI(38:3)
N037	neg	15.8	C47H83O13P	PI(38:4)
N038	neg	14.83	C47H81O13P	PI(38:5)
N039	neg	13.94	C47H79O13P	PI(38:6)
P001	pos	4.09	C26H45D7NO7P	18:1(d7)LysoPC
P002	pos	4.25	C23H39D7NO7P	18:1(d7)LysoPE
P003	pos	18.84	C41H73D7NO8P	15:0-18:1(d7)PC
P004	pos	18.83	C38H67D7NO8P	15:0-18:1(d7)PE
P005	pos	3.49	C24H50NO7P	LPC(16:0)
P006	pos	2.92	C26H54NO7P	LPC(18:0)
P007	pos	4.21	C26H52NO7P	LPC(18:1)_1
P008	pos	3.83	C26H52NO7P	LPC(18:1)_2
P009	pos	2.75	C26H50NO7P	LPC(18:2)
P010	pos	2.28	C26H48NO7P	LPC(18:3)
P011	pos	20.5	C42H84NO8P	PC(34:0) 
P012	pos	19.58	C42H82NO8P	PC(34:1) 
P013	pos	18.46	C42H80NO8P	PC(34:2) 
P014	pos	17.45	C42H78NO8P	PC(34:3) 
